ElementID,Verdict,PropID,CentroidX,CentroidY,CentroidZ,MinEdge_mm,AspectRatio,MaxAngle_deg,Action
478283,COLLAPSED,14,-20660.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
478845,COLLAPSED,14,-23905.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
478870,COLLAPSED,14,-23871.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
479198,COLLAPSED,14,-36885.095,-2179.632,8929.077,0.003,14020.058,303.97,auto_convert_TRIA3
479425,COLLAPSED,14,-36851.67,-2179.632,8929.077,0.003,14020.058,303.97,auto_convert_TRIA3
479852,COLLAPSED,14,-33640.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
479877,COLLAPSED,14,-33606.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
480143,COLLAPSED,14,-30361.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
480345,COLLAPSED,14,-30395.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
480696,COLLAPSED,14,-27116.678,-2179.619,8929.077,0.003,14019.924,304.041,auto_convert_TRIA3
480898,COLLAPSED,14,-27150.098,-2179.735,8929.077,0.003,14054.983,304.083,auto_convert_TRIA3
483408,COLLAPSED,14,-4637.312,-1307.251,8474.677,0.002,18719.743,294.281,auto_convert_TRIA3
483449,COLLAPSED,14,-3048.575,-1263.691,8474.677,0.002,17931.73,290.183,auto_convert_TRIA3
485167,COLLAPSED,14,-4641.847,1071.255,8454.54,0.002,23682.495,290.007,auto_convert_TRIA3
485316,COLLAPSED_TO_LINE,14,-3043.383,-1283.588,8051.813,0.001,79373.972,270,MANUAL_delete
485317,COLLAPSED_TO_LINE,14,-3043.383,-1283.588,8092.086,0.001,59003.686,270,MANUAL_delete
485318,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8132.358,0.001,46953.65,270,MANUAL_delete
485319,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8172.631,0.001,38990.757,270,MANUAL_delete
485320,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8212.904,0.001,33337.101,270,MANUAL_delete
485321,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8253.177,0.001,29115.375,270,MANUAL_delete
485322,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8293.449,0.002,25842.718,270,MANUAL_delete
485323,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8333.722,0.002,23231.434,270,MANUAL_delete
485324,COLLAPSED_TO_LINE,14,-3043.382,-1283.588,8373.995,0.002,21099.437,270,MANUAL_delete
